10,4.39224807581267,1,8,3,3,2,1,10,0,7,10,1,10,9,9,3,8,10,10,4,10,90,0,83,89,81,21,6,10,71,71,89,82,8,73,5,0,7,6,46,1,7,5
3.5,4.57544807973596,-1,7,3,3,2,1,10,0,2,5,1,1,2,3,5,4,6,7,5,10,50,29,50,0,0,28,3.5,5,50,50,31,10,40,70,6,4,8,5,7,2,3,3
3,3.62357871355318,-1,3,2,1,1,7,9,2,5,2,1,5,6,5,3,2,6,5,4,9,52,100,81,51,17,6,5,7,95,74,41,32,89,54,6,6,7,6,11,2,3,2
4,7.55253378464561,-1,10,2,2,2,1,10,0,7,6,1,7,8,10,7,6,5,8,4,10,98,10,71,98,37,90,5,5,99,50,99,79,68,95,8,2,9,7,35,2,4,3
0.5,6.391376150123,-1,2,3,1,2,1,10,0,5,4,1,5,2,5,0,0,5,3,4,10,19,70,100,2,60,10,1,4,90,90,90,10,50,10,10,5,3,7,12,2,6,1
1,1.48262065536101,-1,1,3,4,2,1,10,0,5,3,1,4,3,4,0,1,6,2,4,8,35,23,93,69,0,0,2,6,89,93,42,11,25,15,0,0,9,7,16,1,3,1
3.75,3.55393092763905,1,2,3,1,2,1,10,0,5,5,1,9,8,9,3,8,10,5,4,10,100,0,81,90,6,6,5,5,80,60,91,50,50,50,6,4,6,7,32,2,1,4
3,2.03727409318168,1,8,3,5,2,1,10,0,2,8,1,7,5,9,1,1,9,9,2,9,50,61,60,71,50,50,1,2,91,50,51,19,50,50,1,1,8,2,6,1,3,2
3,8.00189373510971,-1,8,3,2,2,1,10,0,5,6,1,5,2,5,0,2,8,6,2,9,70,81,71,50,9,9,4,7,30,80,80,71,70,51,9,10,7,6,10,1,2,2
1.5,1.44301029963469,1,7,4,3,2,1,10,0,5,5,1,3,1,4,0,1,2,0,6,9,50,0,89,14,0,74,8.5,10,89,100,61,1,50,41,4,4,7,7,14,2,3,4
4,0.539365481671442,1,8,3,2,2,1,10,0,5,6,1,9,5,5,6,7,5,7,5,9,30,10,92,91,91,16,6,4,63,31,84,49,91,91,4,7,6,5,22,1,3,1
15,2.2051241714861,1,6,3,3,2,1,10,0,5,10,1,10,10,10,10,10,10,10,6,10,100,20,41,41,11,11,8,20,60,60,81,41,41,61,3,6,7,6,8,1,3,1
2,1.05491670307608,1,8,3,4,2,1,10,0,4,4,1,8,7,4,1,3,5,8,4,8,83,22,11,50,6,51,1.25,4,91,62,64,46,33,35,5,3,8,6,37,1,3,3
3,8.13241837341145,-1,10,4,4,2,1,10,0,5,5,1,5,3,5,0,0,5,6,4,10,81,20,89,50,0,0,10,20,71,70,70,81,50,29,1,2,8,6,21,2,1,3
0.5,3.77383785855413,-1,5,2,1,2,1,10,0,3,5,1,1,4,3,0,0,3,2,2,10,50,11,100,21,21,20,0,1,100,60,50,49,50,39,8,10,8,2,29,1,1,2
3.5,4.32222489681054,-1,7,4,2,2,1,10,1,5,5,1,9,8,8,3,3,9,7,3,8,90,31,78,85,28,82,3,6.5,66,31,84,51,40,83,1,0,6,6,23,1,1,6
2.25,0.976128403908482,1,0,2,3,2,1,10,0,0,5,1,0,4,0,0,0,3,0,5,8,51,100,81,50,1,51,5,6,68,68,8,0,32,0,8,1,1,7,17,2,6,3
6.5,2.23969635280524,1,5,3,2,2,1,10,1,4,10,1,6,6,5,1,3,6,1,3,7,50,54,76,15,61,40,2,15,70,50,49,0,31,11,4,2,7,7,9,2,2,3
