1,0.782164042150828,1,8,3,3,2,1,10,10,5,5,1,3,7,3,0,2,3,3,4,10,90,0,83,89,81,21,6,10,71,71,89,82,8,73,5,0,7,6,46,1,7,5
2,1.02354575258135,1,7,3,3,2,1,10,10,8,7,5,8,6,7,8,8,10,10,5,10,50,29,50,0,0,28,3.5,5,50,50,31,10,40,70,6,4,8,5,7,2,3,3
5,1.2121958733641,1,3,2,1,1,7,9,10,8,7,3,10,9,9,8,9,10,10,4,9,52,100,81,51,17,6,5,7,95,74,41,32,89,54,6,6,7,6,11,2,3,2
1,2.01841955188566,-1,10,2,2,2,1,10,10,9,9,4,8,8,8,3,6,10,4,4,10,98,10,71,98,37,90,5,5,99,50,99,79,68,95,8,2,9,7,35,2,4,3
1.5,0.928249100077531,1,2,3,1,2,1,10,10,9,4,2,7,6,7,3,4,7,7,4,10,19,70,100,2,60,10,1,4,90,90,90,10,50,10,10,5,3,7,12,2,6,1
1.5,2.36839047221904,-1,1,3,4,2,1,10,10,10,6,4,9,7,9,7,6,10,6,4,8,35,23,93,69,0,0,2,6,89,93,42,11,25,15,0,0,9,7,16,1,3,1
0,1.26996807304524,-1,2,3,1,2,1,10,10,10,8,3,0,9,0,0,0,0,0,4,10,100,0,81,90,6,6,5,5,80,60,91,50,50,50,6,4,6,7,32,2,1,4
4,1.82109746279063,1,8,3,5,2,1,10,9,9,5,2,9,9,9,5,2,9,9,2,9,50,61,60,71,50,50,1,2,91,50,51,19,50,50,1,1,8,2,6,1,3,2
4,2.19589574133308,1,8,3,2,2,1,10,10,9,8,3,10,7,9,2,9,10,9,2,9,70,81,71,50,9,9,4,7,30,80,80,71,70,51,9,10,7,6,10,1,2,2
1,0.646150390869069,1,7,4,3,2,1,10,10,7,6,2,0,6,4,1,3,5,2,6,9,50,0,89,14,0,74,8.5,10,89,100,61,1,50,41,4,4,7,7,14,2,3,4
2,0.642986326703312,1,8,3,2,2,1,10,10,8,8,2,3,5,5,6,6,7,7,5,9,30,10,92,91,91,16,6,4,63,31,84,49,91,91,4,7,6,5,22,1,3,1
2,1.63999302852941,1,6,3,3,2,1,10,10,7,6,6,5,6,7,7,7,6,6,6,10,100,20,41,41,11,11,8,20,60,60,81,41,41,61,3,6,7,6,8,1,3,1
0.8,1.65767378654001,-1,8,3,4,2,1,10,10,9,8,4,3,6,8,2,5,6,7,4,8,83,22,11,50,6,51,1.25,4,91,62,64,46,33,35,5,3,8,6,37,1,3,3
